,URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,SERVER,CONTENT_LENGTH,WHOIS_COUNTRY,WHOIS_STATEPRO,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,SOURCE_APP_PACKETS,REMOTE_APP_PACKETS,SOURCE_APP_BYTES,REMOTE_APP_BYTES,APP_PACKETS,DNS_QUERY_TIMES,Type,Malicious
0,16,7,nginx,263.0,NONE,None,7,0,2,700,9,10,1153,832,9,2.0,1,Malicious
1,16,6,Apache/2.4.10,15087.0,NONE,None,17,7,4,1230,17,19,1265,1230,17,0.0,0,Non-Malicious
2,16,6,Microsoft-HTTPAPI/2.0,324.0,NONE,None,0,0,0,0,0,0,0,0,0,0.0,0,Non-Malicious
3,17,6,nginx,162.0,US,AK,31,22,3,3812,39,37,18784,4380,39,8.0,0,Non-Malicious
4,17,6,None,124140.0,US,TX,57,2,5,4278,61,62,129889,4586,61,4.0,0,Non-Malicious
5,18,7,nginx,9515.0,SC,Mahe,11,6,9,894,11,13,838,894,11,0.0,0,Non-Malicious
6,18,6,Apache/2,345.0,US,CO,12,0,3,1189,14,13,8559,1327,14,2.0,0,Non-Malicious
7,19,6,Microsoft-HTTPAPI/2.0,324.0,US,FL,0,0,0,0,0,0,0,0,0,0.0,0,Non-Malicious
8,20,5,nginx/1.10.1,12055.6,NONE,None,0,0,0,0,2,3,213,146,2,2.0,1,Malicious
9,20,5,nginx/1.10.1,12055.6,NONE,None,0,0,0,0,2,1,62,146,2,2.0,1,Malicious
10,20,6,Apache,12055.6,US,Kansas,0,0,0,0,0,0,0,0,0,0.0,0,Non-Malicious
11,20,6,Microsoft-HTTPAPI/2.0,324.0,US,CO,0,0,0,0,0,0,0,0,0,0.0,0,Non-Malicious
12,20,7,None,13716.0,GB,None,16,6,8,1492,20,20,2334,1784,20,4.0,0,Non-Malicious
13,20,6,nginx,3692.0,NONE,None,25,19,4,3946,35,29,16408,4746,35,10.0,0,Non-Malicious
14,20,7,Apache/2.2.15 (Red Hat),13054.0,NONE,None,0,0,0,0,0,0,0,0,0,0.0,0,Non-Malicious
15,21,7,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,957.0,UK,None,7,0,1,717,11,10,1960,1011,11,4.0,1,Malicious
16,21,7,nginx,686.0,RU,Novosibirskaya obl.,6,0,2,603,8,9,1580,745,8,2.0,1,Malicious
17,21,6,Microsoft-HTTPAPI/2.0,324.0,NONE,None,7,7,3,618,7,9,562,618,7,0.0,0,Non-Malicious
18,21,6,nginx,15025.0,NONE,None,13,1,5,1099,15,17,15476,1243,15,2.0,0,Non-Malicious
19,22,7,Microsoft-HTTPAPI/2.0,324.0,US,CO,9,0,4,850,11,9,1354,994,11,2.0,1,Malicious
20,22,6,openresty/1.11.2.1,16663.8,US,CA,39,29,6,3833,43,42,22495,4125,43,4.0,0,Non-Malicious
21,22,6,nginx,318.0,US,Tennessee,8,6,6,696,8,10,636,696,8,0.0,0,Non-Malicious
22,22,6,Apache/2.2.22,224.0,NONE,None,4,3,2,420,4,6,372,420,4,0.0,0,Non-Malicious
